name,category,expression,coverage,ic_mean,rank_ic_mean,icir,rank_icir,ic_positive_rate,annual_return,annual_volatility,sharpe,max_drawdown,mean_turnover,total_cost,final_net_value,warnings
momentum_20,classic,"Rank(close / Delay(close, 20) - 1)",0.9724896836313618,,,,,,0.14036574907716926,0.19768514575589616,0.7635043280610249,-0.24281615935589818,0.001375515818431912,0.001,1.4607230690494155,['Fewer than 30 valid cross-sectional IC observations.']
reversal_5,classic,"-Rank(close / Delay(close, 5) - 1)",0.9931224209078404,,,,,,0.13514941849831108,0.199481848619483,0.7354237103857797,-0.24581996607472334,0.001375515818431912,0.001,1.4415298013515654,['Fewer than 30 valid cross-sectional IC observations.']
low_volatility_20,classic,"-Rank(Std(close / Delay(close, 1) - 1, 20))",0.9724896836313618,,,,,,0.14036574907716926,0.19768514575589616,0.7635043280610249,-0.24281615935589818,0.001375515818431912,0.001,1.4607230690494155,['Fewer than 30 valid cross-sectional IC observations.']
volume_price_corr_20,classic,"-Rank(Corr(close, volume, 20))",0.9738651994497937,,,,,,0.14177439258388924,0.19768257423370145,0.7697601985867835,-0.2428161593558985,0.001375515818431912,0.001,1.4659345862776356,['Fewer than 30 valid cross-sectional IC observations.']
volume_expansion,classic,"Rank(Mean(volume, 5) / Mean(volume, 20) - 1)",0.9738651994497937,,,,,,0.14177439258388924,0.19768257423370145,0.7697601985867835,-0.2428161593558985,0.001375515818431912,0.001,1.4659345862776356,['Fewer than 30 valid cross-sectional IC observations.']
amihud_liquidity_20,classic,"-Rank(Mean(Abs(close / Delay(close, 1) - 1) / (amount + 1), 20))",0.9724896836313618,,,,,,0.14036574907716926,0.19768514575589616,0.7635043280610249,-0.24281615935589818,0.001375515818431912,0.001,1.4607230690494155,['Fewer than 30 valid cross-sectional IC observations.']
overnight_gap,classic,"Rank(open / Delay(close, 1) - 1)",0.9986244841815681,,,,,,0.15200097220959297,0.20042954587001166,0.8064401458791508,-0.245819966074724,0.001375515818431912,0.001,1.5041341871259089,['Fewer than 30 valid cross-sectional IC observations.']
random_baseline_s143,random,"Rank(Corr(vwap, volume, 10)) + Rank(Delta(close, 2))",0.9876203576341128,,,,,,0.11713789130482954,0.19883921529798843,0.6566825406852174,-0.24581996607472378,0.001375515818431912,0.001,1.3765254638279747,['Fewer than 30 valid cross-sectional IC observations.']
Volume-Weighted Reversal,llm_single,"-1 * Rank(Sum(Delta(close, 1) * volume, 20) / Sum(volume, 20))",0.9724896836313618,,,,,,0.14036574907716926,0.19768514575589616,0.7635043280610249,-0.24281615935589818,0.001375515818431912,0.001,1.4607230690494155,['Fewer than 30 valid cross-sectional IC observations.']
Volume-Weighted Reversal Smoothed,llm_feedback,"-1 * Rank(Sum(Delta(close, 1) * volume, 40) / Sum(volume, 40))",0.9449793672627235,,,,,,0.149470879783683,0.1942407632111663,0.8145590095807262,-0.24281615935589784,0.001375515818431912,0.001,1.4946236574538692,['Fewer than 30 valid cross-sectional IC observations.']
