date,momentum_20,reversal_5,low_volatility_20,volume_price_corr_20,volume_expansion,amihud_liquidity_20,overnight_gap,random_baseline_s143,mock_llm_quality_momentum_v1,mock_llm_quality_momentum_feedback_v2
2023-01-02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2023-01-03,1.0,1.0,1.0,1.0,1.0,1.0,1.0017418166112884,1.0,1.0,1.0
2023-01-04,1.0,1.0,1.0,1.0,1.0,1.0,1.0196344102999193,1.0,1.0,1.0
2023-01-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0066672475375917,1.0,1.0,1.0
2023-01-06,1.0,1.0,1.0,1.0,1.0,1.0,0.993537708944191,1.0,1.0,1.0
2023-01-09,1.0,1.00111377894861,1.0,1.0,1.0,1.0,0.9878114679724188,1.0,1.0,1.0
2023-01-10,1.0,1.0037486108666802,1.0,1.0,1.0,1.0,0.9904798952088407,1.0,1.0,1.0
2023-01-11,1.0,1.0212539600974677,1.0,1.0,1.0,1.0,0.9834235635664319,1.0,1.0,1.0
2023-01-12,1.0,1.0231410783140495,1.0,1.0,1.0,1.0,0.967800266357233,1.0,1.0,1.0
2023-01-13,1.0,1.0359922170266465,1.0,1.0,1.0,1.0,0.9720766177231209,1.0088374641161841,1.0,1.0
2023-01-16,1.0,1.048171660133475,1.0,1.0,1.0,1.0,0.9814720739332852,1.0106781380508407,1.0068691066829074,1.0
2023-01-17,1.0,1.059566661272193,1.0,1.0,1.0,1.0,0.9771966068615693,0.996326876780025,0.9981815548704601,1.0
2023-01-18,1.0,1.0640846210101147,1.0,1.0,1.0,1.0,0.9910755289924028,1.0105391960538832,1.0065626552919436,1.0
2023-01-19,1.0,1.0741555307130362,1.0,1.0,1.0,1.0,0.9931904302567682,1.0085962747105592,0.9935161958385186,1.0
2023-01-20,1.0,1.0794719373997752,1.0,1.0,1.0,1.0,0.9828602487802851,0.9919047739669131,0.9864190747983671,1.0
2023-01-23,1.0,1.0967273259008676,1.0,1.0,1.0,1.0,0.9934497019347027,0.9960273511548049,0.986066426741809,1.0
2023-01-24,1.0,1.0869161157039855,1.0,1.0,1.0,1.0,0.9920611046542329,0.9866004457223062,0.9837197855549022,1.0
