date,momentum_20,reversal_5,low_volatility_20,volume_price_corr_20,volume_expansion,amihud_liquidity_20,overnight_gap,random_baseline_s143,vwap_reversion_5d,vwap_reversion_10d
2023-01-02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2023-01-03,1.0,1.0,1.0,1.0,1.0,1.0,1.0017174823483548,1.0,1.0,1.0
2023-01-04,1.0,1.0,1.0,1.0,1.0,1.0,1.0125197980310399,1.0,1.0,1.0
2023-01-05,1.0,1.0,1.0,1.0,1.0,1.0,1.020825553029681,1.0,1.0,1.0
2023-01-06,1.0,1.0,1.0,1.0,1.0,1.0,1.01536131416543,1.0,0.9830647732314726,1.0
2023-01-09,1.0,1.0127546188862788,1.0,1.0,1.0,1.0,1.0165169051130674,1.0,0.991581999651088,1.0
2023-01-10,1.0,1.0032869674917868,1.0,1.0,1.0,1.0,1.0138992917942284,1.0,0.993937790569714,1.0
2023-01-11,1.0,1.0099252905369496,1.0,1.0,1.0,1.0,1.0297950540508114,1.0,1.0047017618576823,1.0
2023-01-12,1.0,1.000008347511712,1.0,1.0,1.0,1.0,1.0424499239476237,1.0,0.9879979370856725,1.0
2023-01-13,1.0,0.9962873616153528,1.0,1.0,1.0,1.0,1.0507658205630341,0.9939012670429205,0.9978801005152735,0.9980048943241078
2023-01-16,1.0,1.0120940919372337,1.0,1.0,1.0,1.0,1.052437785614954,0.9987734785244196,1.0051602544851832,0.9933806313276589
2023-01-17,1.0,1.0083060723054738,1.0,1.0,1.0,1.0,1.0513381002032107,1.0077167116047643,1.0113254110992906,0.9933394676433502
2023-01-18,1.0,1.0315581148475441,1.0,1.0,1.0,1.0,1.0577281716324298,1.0028162477722635,1.0320376737646264,1.010983527107009
2023-01-19,1.0,1.0246507735769115,1.0,1.0,1.0,1.0,1.0553132596085852,0.9983277100620076,1.0356295163011022,1.0102954005620726
2023-01-20,1.0,1.0209818352033033,1.0,1.0,1.0,1.0,1.0493853927295502,0.9908126549994511,1.0315964638298714,1.001741233668528
